[ Northfield Women's Shelter - Atlantic County Women's Center ",Northfield, NJ 08225 4.83 miles from city center Absecon']
[ Project Hospitality', Staten Island, NY 103028.65 miles from city center Avenel']
[ BEOF Community Action Partnership Emergency Services', Bayonne, NJ 070029.98 miles from city center Avenel']
[ Turning Point Community Services - Support Services', Maplewood, NJ 0704010.28 miles from city center Avenel']
[ Village for Humanity Homeless Services', irvington, NJ 0711110.43 miles from city center Avenel']
[ Gospel Services Benevolent Society Inc', Irvington, NJ 0711110.61 miles from city center Avenel']
[ Ozanam Men's Shelter", New Brunswick, NJ 0890110.63 miles from city center Avenel']
[ ANSWERS Moving Forward Inc.', newark, NJ 0710310.73 miles from city center Avenel']
[ Emergency Housing Services/ Urban Renewal Corp South 16th Street', Newark, NJ 0710310.94 miles from city center Avenel']
[ Women Aware - Domestic Violence Shelter', New Brunswick, NJ 0890111.22 miles from city center Avenel']
[ Emergency Housing Services/ Urban Renewal Corp Washington Street', Newark, NJ 0710311.26 miles from city center Avenel']
[ Newark Emergency Services for FamiliesInc', Newark, NJ 0710211.55 miles from city center Avenel']
[ Harmony House Transitional Living Facility', Newark, NJ 0710311.68 miles from city center Avenel']
[ Covenant House New Jersey Newark', NEWARK, NJ 0710211.75 miles from city center Avenel']
[ Path - Homeless Case Management', East Orange, NJ 0701812.34 miles from city center Avenel']
[ Naomi's Way Transitional Housing", New Brunswick, NJ 0890112.46 miles from city center Avenel']
[ Shelter for Single Adults', Newark, NJ 0710212.48 miles from city center Avenel']
[ Goodwill Rescue Mission Inc.', Newark, NJ 0710712.56 miles from city center Avenel']
[ Emergency Housing Services/ Urban Renewal Corp Myrtle Avenue', Newark, NJ 0710312.58 miles from city center Avenel']
[ 180 Turning Lives Around', Hazlet, NJ 0773012.60 miles from city center Avenel']
[ Apostles' House Emergency Shelter", Newark, NJ 0710412.82 miles from city center Avenel']
[ Essex County Citizen Service - Emergency Assistance', East Orange, NJ 0701812.85 miles from city center Avenel']
[ Peace House Inc.', Newark, NJ 0710413.48 miles from city center Avenel']
[ Helping The homeless III LLC',Newark, NJ 0710413.52 miles from city center Avenel']
[ LGBTRAIN Foundation',East Orange, NJ 0701713.60 miles from city center Avenel']
[ Safe House Shelter For Victims of Domestic Violence',Bloomfield, NJ 0700315.69 miles from city center Avenel']
[ York Street Project',Jersey City, NJ 0730215.70 miles from city center Avenel']
[ Hope House Jersey City',Jersey City, NJ 0730215.72 miles from city center Avenel']
[ Family Promise of Monmouth County Food and Shelter Services',Middletown, NJ 0773416.20 miles from city center Avenel']
[ REAL House Inc. Juniper House',Montclair, NJ 0704216.22 miles from city center Avenel']
[ Real House Inc Women Shelter in Montclair New Jersey',Montclair, NJ 0704216.22 miles from city center Avenel']
[ St Lucy's Homeless Shelter",Jersey City, NJ 0731016.27 miles from city center Avenel']
[ URI NYC - Urban Resource Institute',New York, NY 1000416.43 miles from city center Avenel']
[ CAMBA Park Slope Women's Shelter",Brooklyn, NY 1121516.56 miles from city center Avenel']
[ Salvation Army Cornerstone Shelter',Montclair, NJ 0704216.57 miles from city center Avenel']
[ The Hoboken Shelter',Hoboken, NJ 0703017.00 miles from city center Avenel']
[ Samaritan Homeless Interim Program - Emergency Shelter Rent Assitance',Somerville, NJ 0887617.20 miles from city center Avenel']
[ Somerset County Social Services Emergency Assistance',Somerville, NJ 0887617.24 miles from city center Avenel']
[ New York City Rescue Mission - NYCRM',New York City, NY 1001317.32 miles from city center Avenel']
[ One Step Forward Shelter Place ',New York , NY 1001317.43 miles from city center Avenel']
[ Opportunity House Men's Shelter",Brooklyn, NY 1120117.46 miles from city center Avenel']
[ Tillary Street Women's Shelter",Brooklyn, NY 1120117.46 miles from city center Avenel']
[ Auburn Family Residence Fort Greene',Brooklyn, NY 1120517.70 miles from city center Avenel']
[ Bowery Mission',New York City, NY 1000217.81 miles from city center Avenel']
[ 3rd Street Men's Shelter",New York, NY 1000318.10 miles from city center Avenel']
[ Market Street Mission of Morristown',Morristown, NJ 0796018.19 miles from city center Avenel']
[ Interfaith Council for Homeless Families of Morris County',Morristown, NJ 0796218.34 miles from city center Avenel']
[ Our Place Day Shelter',Morristown, NJ 0796018.34 miles from city center Avenel']
[ Salvation Army Morristown Emergency Assistance',Morristown, NJ 0796018.38 miles from city center Avenel']
[ Homes for the Homeless',New York City, NY 1000318.40 miles from city center Avenel']
[ O\u2019Toole Center for Family Services & Outreach',New Yok, NY 1000918.64 miles from city center Avenel']
[ Soup Soul - Holy Apostles Soup Kitchen',New York City, NY 1000118.69 miles from city center Avenel']
[ PERC Shelter - Emergency Homeless Housing',Union City, NJ 0708718.79 miles from city center Avenel']
[ Antonio Olivieri Drop-In Center',New York, NY100018.90 miles from city center Avenel']
[ Olivieri Drop-In Center',New York, NY 1000118.90 miles from city center Avenel']
[ Ready Willing and Able',Brooklyn, NY 1121618.97 miles from city center Avenel']
[ Salvation Army Union City Emergency Services',Union City, NJ 0708719.01 miles from city center Avenel']
[ Covenant HouseCrisis Shelter NYC',New York, NY 1003619.02 miles from city center Avenel']
[ Metropolitan Community Church of New York',New York, NY 1001819.03 miles from city center Avenel']
[ Breaking Ground',New York, NY 1001819.11 miles from city center Avenel']
[ Mainchance Drop-In Center',New York, NY 1001619.28 miles from city center Avenel']
[ Homeless Solutions, Inc.',Cedar Knolls, NJ 0792719.33 miles from city center Avenel']
[ Bellevue Men\u2019s Shelter NY - HRA Men's Shelter",New York, NY100119.37 miles from city center Avenel']
[ NewYork City 30th Street Intake For Homeless Men',Manhattan, NY 1001619.39 miles from city center Avenel']
[ Adult Family Intake Center (AFIC) Office',New York, NY 1001619.40 miles from city center Avenel']
[ Providence House For Pregnant Women And Children',Brooklyn, NY 1122119.67 miles from city center Avenel']
[ Providence House',Brooklyn, NY 1122119.69 miles from city center Avenel']
[ 52nd Street Women's Center",NewYork, NY 1001919.80 miles from city center Avenel']
[ Grand Central Neighborhood Social Services Corporation (GCNSSC)',New York City, NY 1001619.84 miles from city center Avenel']
[ Somerset Home for Temporarily Displaced Children',Bridgewater, NJ 0880720.03 miles from city center Avenel']
[ Broadway House Women\u2019s Shelter',Brooklyn, NY 1122120.07 miles from city center Avenel']
[ Barbara Kleiman Shelter',Brooklyn, NY 1121120.17 miles from city center Avenel']
[ 53rd Street Men\u2019s Shelter ',New York, NY 1002220.33 miles from city center Avenel']
[ Resource Center of Somerset',Hillsborough, NJ 0884420.61 miles from city center Avenel']
[ Magnolia House - Women's Shelter",Brooklyn, NY 1123320.66 miles from city center Avenel']
[ Atlantic House Men's Shelter",Brooklyn, NY 1123320.68 miles from city center Avenel']
[ The Gathering Place Drop In Center',Brooklyn, NY 1123320.68 miles from city center Avenel']
[ Community Service Program Assistance',Passaic, NJ 0705520.81 miles from city center Avenel']
[ Lalitamba Saranam',New York, NY 1002421.24 miles from city center Avenel']
[ Basics Housing Men's Shelter Manhattan",New York, NY 1002421.25 miles from city center Avenel']
[ Lalitamba Saranam',New York, NY 1002421.27 miles from city center Avenel']
[ Lalitamba Saranam (Frederick's Place)",New York, NY 1002421.32 miles from city center Avenel']
[ Neighborhood Center for Homelessness',New York, NY 1007521.43 miles from city center Avenel']
[ Hope Through Care',Clifton, NJ 0701121.44 miles from city center Avenel']
[ Van Siclen Women's Shelter (Samartan Village)",Brooklyn , NY 1120721.44 miles from city center Avenel']
[ Pam\u2019s Place Shelter',Long Island City, NY 1110121.53 miles from city center Avenel']
[ HELP Women's Shelter New York City",Brooklyn, NY 21.66 miles from city center Avenel']
[ Passaic County Interfaith Hospitality Network',Paterson, NJ 0750123.37 miles from city center Avenel']
[ Eva's Village Shelter, Addiction Treatment, Soup Kitchen",Paterson, NJ 0750123.44 miles from city center Avenel']
[ Sheltering Arms Affordable Housing For Homeless Families',Paterson, NJ 0750523.70 miles from city center Avenel']
[ Bergen County Human Services Center',Hackensack, NJ 0760123.81 miles from city center Avenel']
[ St. Paul's Community Development Corp - Emergency Men's Shelter",Paterson, NJ 0750124.04 miles from city center Avenel']
[ Hill Top Haven Family Shelter',Paterson, NJ 0752224.37 miles from city center Avenel']
[ Bergen County Community Action Crisis Services ',Hackensack, NJ 0760124.74 miles from city center Avenel']
[ Prevention Assistance and Temporary Housing (PATH)',Bronx, NY 1045124.79 miles from city center Avenel']
[ Franklin Women's Intake Shelter Bronx NY",Bronx, NY 1046025.79 miles from city center Avenel']
[ Cromwell Ave Safe Haven Bronx NY',Bronx, NY 1045225.99 miles from city center Avenel']
[ The Living Room Drop In Center Bronx',Bronx, NY 1047426.09 miles from city center Avenel']
[ Maya's Place",Bronx, NY 1045326.55 miles from city center Avenel']
[ Susan's Place Shelter for Women",Bronx, NY 1045326.78 miles from city center Avenel']
[ Family Promise of Bergen County',Ridgewood, NJ 0745028.64 miles from city center Avenel']
[ Epiphany House Transitional Substance Abuse Women's Recovery",Asbury Park, NJ 0771228.70 miles from city center Avenel']
[ YMCA Temporary Shelter For Men Kingdom Christian Cultural Center',Yonkers, NY 1070131.64 miles from city center Avenel']
[ Market Street Mission of Morristown',Morristown, NJ 079607.18 miles from city center Basking Ridge']
[ Our Place Day Shelter',Morristown, NJ 079607.25 miles from city center Basking Ridge']
[ Salvation Army Morristown Emergency Assistance',Morristown, NJ 079607.50 miles from city center Basking Ridge']
[ Interfaith Council for Homeless Families of Morris County',Morristown, NJ 079628.58 miles from city center Basking Ridge']
[ Samaritan Homeless Interim Program - Emergency Shelter Rent Assitance',Somerville, NJ 088769.93 miles from city center Basking Ridge']
[ Somerset County Social Services Emergency Assistance',Somerville, NJ 088769.93 miles from city center Basking Ridge']
[ Homeless Solutions, Inc.',Cedar Knolls, NJ 0792710.11 miles from city center Basking Ridge']
[ Somerset Home for Temporarily Displaced Children',Bridgewater, NJ 0880711.69 miles from city center Basking Ridge']
[ Ozanam Family Shelter',Edison, NJ 0881714.29 miles from city center Basking Ridge']
[ Turning Point Community Services - Support Services',Maplewood, NJ 0704014.72 miles from city center Basking Ridge']
[ Resource Center of Somerset',Hillsborough, NJ 0884415.67 miles from city center Basking Ridge']
[ Salvation Army Emergency Assistance',Union, NJ 0708315.73 miles from city center Basking Ridge']
[ Naomi's Way Transitional Housing",New Brunswick, NJ 0890115.88 miles from city center Basking Ridge']
[ Women Aware - Domestic Violence Shelter',New Brunswick, NJ 0890116.04 miles from city center Basking Ridge']
[ Ozanam Men's Shelter",New Brunswick, NJ 0890116.09 miles from city center Basking Ridge']
[ Gospel Services Benevolent Society Inc',Irvington, NJ 0711116.59 miles from city center Basking Ridge']
[ Village for Humanity Homeless Services',irvington, NJ 0711117.39 miles from city center Basking Ridge']
[ Trinity Soup Kitchen (Woodbridge) Trinity Episcopal Church',Woodbridge, NJ 0709517.52 miles from city center Basking Ridge']
[ ANSWERS Moving Forward Inc.',newark, NJ 0710317.63 miles from city center Basking Ridge']
[ LGBTRAIN Foundation',East Orange, NJ 0701717.77 miles from city center Basking Ridge']
[ Essex County Citizen Service - Emergency Assistance',East Orange, NJ 0701817.89 miles from city center Basking Ridge']
[ Emergency Housing Services/ Urban Renewal Corp South 16th Street',Newark, NJ 0710317.89 miles from city center Basking Ridge']
[ Path - Homeless Case Management',East Orange, NJ 0701817.93 miles from city center Basking Ridge']
[ YMCA of Eastern Union County Shelter',Elizabeth, NJ 0720117.99 miles from city center Basking Ridge']
[ Salvation Army Emergency Shelter - Elizabeth Shelter',Elizabeth, NJ 0720118.21 miles from city center Basking Ridge']
[ Elizabeth Coalition to House the Homeless ',Elizabeth, NJ 0720118.59 miles from city center Basking Ridge']
[ Harmony House Transitional Living Facility',Newark, NJ 0710318.67 miles from city center Basking Ridge']
[ Emergency Housing Services/ Urban Renewal Corp Myrtle Avenue',Newark, NJ 0710318.93 miles from city center Basking Ridge']
[ Salvation Army Cornerstone Shelter',Montclair, NJ 0704219.14 miles from city center Basking Ridge']
[ REAL House Inc. Juniper House',Montclair, NJ 0704219.23 miles from city center Basking Ridge']
[ Real House Inc Women Shelter in Montclair New Jersey',Montclair, NJ 0704219.23 miles from city center Basking Ridge']
[ State Street Transitional Housing, Perth Amboy',Perth Amboy, NJ 0886119.30 miles from city center Basking Ridge']
[ Emergency Housing Services/ Urban Renewal Corp Washington Street',Newark, NJ 0710319.41 miles from city center Basking Ridge']
[ Covenant House New Jersey Newark',NEWARK, NJ 0710219.67 miles from city center Basking Ridge']
[ Newark Emergency Services for FamiliesInc',Newark, NJ 0710219.68 miles from city center Basking Ridge']
[ Goodwill Rescue Mission Inc.',Newark, NJ 0710719.95 miles from city center Basking Ridge']
[ Jeremiah's Refuge Emergency Shelter",Perth Amboy, NJ 0886119.96 miles from city center Basking Ridge']
[ Safe House Shelter For Victims of Domestic Violence',Bloomfield, NJ 0700319.97 miles from city center Basking Ridge']
[ Peace House Inc.',Newark, NJ 0710420.05 miles from city center Basking Ridge']
[ Helping The homeless III LLC',Newark, NJ 0710420.07 miles from city center Basking Ridge']
[ Apostles' House Emergency Shelter",Newark, NJ 0710420.13 miles from city center Basking Ridge']
[ Shelter for Single Adults',Newark, NJ 0710220.17 miles from city center Basking Ridge']
[ SAFE in Hunterdon Women's Domestic Violence Shelter",Flemington, NJ 0882220.76 miles from city center Basking Ridge']
[ Passaic County Interfaith Hospitality Network',Paterson, NJ 0750124.33 miles from city center Basking Ridge']
[ Eva's Village Shelter, Addiction Treatment, Soup Kitchen",Paterson, NJ 0750124.35 miles from city center Basking Ridge']
[ Sheltering Arms Affordable Housing For Homeless Families',Paterson, NJ 0750524.48 miles from city center Basking Ridge']
[ Hill Top Haven Family Shelter',Paterson, NJ 0752224.84 miles from city center Basking Ridge']
[ St. Paul's Community Development Corp - Emergency Men's Shelter",Paterson, NJ 0750125.24 miles from city center Basking Ridge']
[ Sussex County Homelessness Program',Newton, NJ 0786026.55 miles from city center Basking Ridge']
[ 180 Turning Lives Around',Hazlet, NJ 0773027.88 miles from city center Basking Ridge']
[ Samaritan Inn Newton',Newton, NJ 0786030.03 miles from city center Basking Ridge']
[ BEOF Community Action Partnership Emergency Services',Bayonne, NJ 07002 (201) 437 - 7222To provide programs geared primarily for low income citizens, senior citizens and the handicapped. Information and referral is given to any citizen of Bayonne who needs our assistance. The B.E.O.F.\'s programs range from pre-natal through the "Golden Years".']
[ Project Hospitality',Staten Island, NY 103022.29 miles from city center Bayonne']
[ Elizabeth Coalition to House the Homeless ',Elizabeth, NJ 072014.48 miles from city center Bayonne']
[ Salvation Army Emergency Shelter - Elizabeth Shelter',Elizabeth, NJ 072014.80 miles from city center Bayonne']
[ YMCA of Eastern Union County Shelter',Elizabeth, NJ 072015.03 miles from city center Bayonne']
[ York Street Project',Jersey City, NJ 073025.21 miles from city center Bayonne']
[ Hope House Jersey City',Jersey City, NJ 073025.28 miles from city center Bayonne']
[ Newark Emergency Services for FamiliesInc',Newark, NJ 071025.28 miles from city center Bayonne']
[ Emergency Housing Services/ Urban Renewal Corp Washington Street',Newark, NJ 071035.30 miles from city center Bayonne']
[ Covenant House New Jersey Newark',NEWARK, NJ 071025.50 miles from city center Bayonne']
[ Shelter for Single Adults',Newark, NJ 071025.77 miles from city center Bayonne']
[ St Lucy's Homeless Shelter",Jersey City, NJ 073105.89 miles from city center Bayonne']
[ URI NYC - Urban Resource Institute',New York, NY 100045.97 miles from city center Bayonne']
[ Goodwill Rescue Mission Inc.',Newark, NJ 071076.09 miles from city center Bayonne']
[ Apostles' House Emergency Shelter",Newark, NJ 071046.21 miles from city center Bayonne']
[ Harmony House Transitional Living Facility',Newark, NJ 071036.48 miles from city center Bayonne']
[ The Hoboken Shelter',Hoboken, NJ 070306.62 miles from city center Bayonne']
[ Emergency Housing Services/ Urban Renewal Corp South 16th Street',Newark, NJ 071036.62 miles from city center Bayonne']
[ ANSWERS Moving Forward Inc.',newark, NJ 071036.73 miles from city center Bayonne']
[ Village for Humanity Homeless Services',irvington, NJ 071116.75 miles from city center Bayonne']
[ New York City Rescue Mission - NYCRM',New York City, NY 100136.83 miles from city center Bayonne']
[ One Step Forward Shelter Place ',New York , NY 100136.92 miles from city center Bayonne']
[ CAMBA Park Slope Women's Shelter",Brooklyn, NY 112156.96 miles from city center Bayonne']
[ Peace House Inc.',Newark, NJ 071047.05 miles from city center Bayonne']
[ Helping The homeless III LLC',Newark, NJ 071047.08 miles from city center Bayonne']
[ Emergency Housing Services/ Urban Renewal Corp Myrtle Avenue',Newark, NJ 071037.12 miles from city center Bayonne']
[ Tillary Street Women's Shelter",Brooklyn, NY 112017.18 miles from city center Bayonne']
[ Opportunity House Men's Shelter",Brooklyn, NY 112017.19 miles from city center Bayonne']
[ Bowery Mission',New York City, NY 100027.32 miles from city center Bayonne']
[ Salvation Army Emergency Assistance',Union, NJ 070837.38 miles from city center Bayonne']
[ Auburn Family Residence Fort Greene',Brooklyn, NY 112057.46 miles from city center Bayonne']
[ 3rd Street Men's Shelter",New York, NY 100037.60 miles from city center Bayonne']
[ Gospel Services Benevolent Society Inc',Irvington, NJ 071117.68 miles from city center Bayonne']
[ Path - Homeless Case Management',East Orange, NJ 070187.85 miles from city center Bayonne']
[ Homes for the Homeless',New York City, NY 100037.89 miles from city center Bayonne']
[ O\u2019Toole Center for Family Services & Outreach',New Yok, NY 100098.14 miles from city center Bayonne']
[ Soup Soul - Holy Apostles Soup Kitchen',New York City, NY 100018.22 miles from city center Bayonne']
[ Essex County Citizen Service - Emergency Assistance',East Orange, NJ 070188.38 miles from city center Bayonne']
[ Antonio Olivieri Drop-In Center',New York, NY10008.43 miles from city center Bayonne']
[ Olivieri Drop-In Center',New York, NY 100018.43 miles from city center Bayonne']
[ Covenant HouseCrisis Shelter NYC',New York, NY 100368.56 miles from city center Bayonne']
[ Metropolitan Community Church of New York',New York, NY 100188.59 miles from city center Bayonne']
[ PERC Shelter - Emergency Homeless Housing',Union City, NJ 070878.62 miles from city center Bayonne']
[ Breaking Ground',New York, NY 100188.64 miles from city center Bayonne']
[ Mainchance Drop-In Center',New York, NY 100168.77 miles from city center Bayonne']
[ Bellevue Men\u2019s Shelter NY - HRA Men's Shelter",New York, NY10018.86 miles from city center Bayonne']
[ NewYork City 30th Street Intake For Homeless Men',Manhattan, NY 100168.88 miles from city center Bayonne']
[ Adult Family Intake Center (AFIC) Office',New York, NY 100168.89 miles from city center Bayonne']
[ Salvation Army Union City Emergency Services',Union City, NJ 070878.91 miles from city center Bayonne']
[ Ready Willing and Able',Brooklyn, NY 112168.97 miles from city center Bayonne']
[ LGBTRAIN Foundation',East Orange, NJ 070179.25 miles from city center Bayonne']
[ Turning Point Community Services - Support Services',Maplewood, NJ 070409.25 miles from city center Bayonne']
[ Grand Central Neighborhood Social Services Corporation (GCNSSC)',New York City, NY 100169.34 miles from city center Bayonne']
[ 52nd Street Women's Center",NewYork, NY 100199.39 miles from city center Bayonne']
[ Providence House For Pregnant Women And Children',Brooklyn, NY 112219.65 miles from city center Bayonne']
[ Providence House',Brooklyn, NY 112219.68 miles from city center Bayonne']
[ Safe House Shelter For Victims of Domestic Violence',Bloomfield, NJ 070039.80 miles from city center Bayonne']
[ Barbara Kleiman Shelter',Brooklyn, NY 112119.82 miles from city center Bayonne']
[ 53rd Street Men\u2019s Shelter ',New York, NY 100229.83 miles from city center Bayonne']
[ Broadway House Women\u2019s Shelter',Brooklyn, NY 1122110.06 miles from city center Bayonne']
[ Basics Housing Men's Shelter Manhattan",New York, NY 1002410.88 miles from city center Bayonne']
[ Lalitamba Saranam',New York, NY 1002410.88 miles from city center Bayonne']
[ Lalitamba Saranam',New York, NY 1002410.91 miles from city center Bayonne']
[ Magnolia House - Women's Shelter",Brooklyn, NY 1123310.94 miles from city center Bayonne']
[ Neighborhood Center for Homelessness',New York, NY 1007510.95 miles from city center Bayonne']
[ Lalitamba Saranam (Frederick's Place)",New York, NY 1002410.95 miles from city center Bayonne']
[ Atlantic House Men's Shelter",Brooklyn, NY 1123310.99 miles from city center Bayonne']
[ The Gathering Place Drop In Center',Brooklyn, NY 1123310.99 miles from city center Bayonne']
[ Pam\u2019s Place Shelter',Long Island City, NY 1110111.02 miles from city center Bayonne']
[ Trinity Soup Kitchen (Woodbridge) Trinity Episcopal Church',Woodbridge, NJ 0709511.03 miles from city center Bayonne']
[ REAL House Inc. Juniper House',Montclair, NJ 0704211.05 miles from city center Bayonne']
[ Real House Inc Women Shelter in Montclair New Jersey',Montclair, NJ 0704211.05 miles from city center Bayonne']
[ Salvation Army Cornerstone Shelter',Montclair, NJ 0704211.54 miles from city center Bayonne']
[ Van Siclen Women's Shelter (Samartan Village)",Brooklyn , NY 1120711.70 miles from city center Bayonne']
[ HELP Women's Shelter New York City",Brooklyn, NY 12.03 miles from city center Bayonne']
[ State Street Transitional Housing, Perth Amboy',Perth Amboy, NJ 0886112.43 miles from city center Bayonne']
[ Jeremiah's Refuge Emergency Shelter",Perth Amboy, NJ 0886113.34 miles from city center Bayonne']
[ Community Service Program Assistance',Passaic, NJ 0705513.43 miles from city center Bayonne']
[ Hope Through Care',Clifton, NJ 0701114.29 miles from city center Bayonne']
[ The Landing Family Shelter',Queens, NY 1136914.33 miles from city center Bayonne']
[ Prevention Assistance and Temporary Housing (PATH)',Bronx, NY 1045114.42 miles from city center Bayonne']
[ Bergen County Human Services Center',Hackensack, NJ 0760114.80 miles from city center Bayonne']
[ Franklin Women's Intake Shelter Bronx NY",Bronx, NY 1046015.40 miles from city center Bayonne']
[ The Living Room Drop In Center Bronx',Bronx, NY 1047415.62 miles from city center Bayonne']
[ Cromwell Ave Safe Haven Bronx NY',Bronx, NY 1045215.69 miles from city center Bayonne']
[ Bergen County Community Action Crisis Services ',Hackensack, NJ 0760115.84 miles from city center Bayonne']
[ Maya's Place",Bronx, NY 1045316.30 miles from city center Bayonne']
[ Susan's Place Shelter for Women",Bronx, NY 1045316.49 miles from city center Bayonne']
[ Restfull Nights Organization Inc.',Jamaica, NY 1143516.53 miles from city center Bayonne']
[ Passaic County Interfaith Hospitality Network',Paterson, NJ 0750116.99 miles from city center Bayonne']
[ Eva's Village Shelter, Addiction Treatment, Soup Kitchen",Paterson, NJ 0750117.08 miles from city center Bayonne']
[ St. Paul's Community Development Corp - Emergency Men's Shelter",Paterson, NJ 0750117.37 miles from city center Bayonne']
[ Sheltering Arms Affordable Housing For Homeless Families',Paterson, NJ 0750517.37 miles from city center Bayonne']
[ 180 Turning Lives Around',Hazlet, NJ 0773017.66 miles from city center Bayonne']
[ Jamaica Armory Shelter For Women',Jamaica, NY 1143417.75 miles from city center Bayonne']
[ Hill Top Haven Family Shelter',Paterson, NJ 0752218.07 miles from city center Bayonne']
[ Family Promise of Monmouth County Food and Shelter Services',Middletown, NJ 0773418.82 miles from city center Bayonne']
[ Ozanam Family Shelter',Edison, NJ 0881719.09 miles from city center Bayonne']
[ Jerome Avenue Men's Shelter - JAMS",Bronix, NY 1046719.43 miles from city center Bayonne']
[ Interfaith Council for Homeless Families of Morris County',Morristown, NJ 0796220.57 miles from city center Bayonne']
[ Homeless Solutions, Inc.',Cedar Knolls, NJ 0792720.82 miles from city center Bayonne']
[ Ozanam Men's Shelter",New Brunswick, NJ 0890121.11 miles from city center Bayonne']
[ Market Street Mission of Morristown',Morristown, NJ 0796021.18 miles from city center Bayonne']
[ Salvation Army Morristown Emergency Assistance',Morristown, NJ 0796021.22 miles from city center Bayonne']
[ Our Place Day Shelter',Morristown, NJ 0796021.31 miles from city center Bayonne']
[ Family Promise of Bergen County',Ridgewood, NJ 0745021.41 miles from city center Bayonne']
[ Women Aware - Domestic Violence Shelter',New Brunswick, NJ 0890121.70 miles from city center Bayonne']
[ YMCA Temporary Shelter For Men Kingdom Christian Cultural Center',Yonkers, NY 1070121.72 miles from city center Bayonne']
[ Naomi's Way Transitional Housing",New Brunswick, NJ 0890122.94 miles from city center Bayonne']
[ The Oasis ShelterNew Rochelle',New Rochelle, NY 1080123.96 miles from city center Bayonne']
[ Westchester County Department of Social Services',White Plains, NY 1060130.73 miles from city center Bayonne']
[ Open Arms Men's Shelter",White Plains, NY 1060130.75 miles from city center Bayonne']
[ Samaritan House Shelter White Plains',White Plains, NY 1060131.09 miles from city center Bayonne']
[ Lifting Up Westchester',White Plains, NY 1060131.82 miles from city center Bayonne']
[ Anna Sample Family Shelter - Volunteers of America Delaware Valley',Camden, NJ 081035.08 miles from city center Bellmawr']
[ The Butterfly Program',Camden, NJ 081035.20 miles from city center Bellmawr']
[ Bureau of Senior & Emergency Services, Camden City ',Camden, NJ 081015.64 miles from city center Bellmawr']
[ A Gift From God Ministries',Camden, NJ 081056.06 miles from city center Bellmawr']
[ Path Homeless Services Day Shelter',Camden, NJ 081026.14 miles from city center Bellmawr']
[ Mercy Hospice For Women and Children',Philadelphia, PA 191076.62 miles from city center Bellmawr']
[ Bethesda Project - Philadelphia PA',Philadelphia, PA 191466.75 miles from city center Bellmawr']
[ Eliza Shirley House - Shelter For Women',Philadelphia, PA 191077.08 miles from city center Bellmawr']
[ Saint John's Hospice",Philadelphia, PA 191077.14 miles from city center Bellmawr']
[ Appletree Family Shelter - Women Centralized Homeless Intake Services',Philadelphia, PA 191077.22 miles from city center Bellmawr']
[ Our Brother's Place Men's Day Shelter",Philadelphia, PA 191237.24 miles from city center Bellmawr']
[ Sunday Breakfast Rescue Mission',Philadelphia, PA 191077.28 miles from city center Bellmawr']
